family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
bbara,4,16,0,morph_batch,4,9,4,2,208,144,8,33.16992500144231,True,True,True,1,9,4,2,1.716191624999965,5,15,23,1,282736,49520,288,144,144,665280,30.0,15,15,1.0,
bbara,4,16,0,structural,4,9,4,2,208,144,8,33.16992500144231,False,False,False,9,-1,-1,-1,1.9200879770000936,7,7,8,1,364992,364992,512,512,256,1183744,10.0,0,15,0.0,all available merges exceeded the resource budget
bbara,4,16,0,smallest,4,9,4,2,208,144,8,33.16992500144231,False,False,False,3,-1,-1,-1,2.248450364999826,13,13,14,1,419728,419728,512,512,256,1183744,10.0,1,15,0.0666666666666666,all available merges exceeded the resource budget
bbara,4,16,0,random,4,9,4,2,208,144,8,33.16992500144231,False,False,False,14,-1,-1,-1,0.5987647550000474,2,2,3,1,8704,8704,64,64,144,295776,0.0,0,15,0.0,all available merges exceeded the resource budget
bbara,4,16,1,morph_batch,4,9,4,2,208,144,8,33.16992500144231,True,True,True,1,9,4,2,1.7220570169999974,5,15,23,1,282736,49520,288,144,144,665280,30.0,15,15,1.0,
bbara,4,16,1,structural,4,9,4,2,208,144,8,33.16992500144231,True,True,True,1,9,4,2,3.062040339000077,15,15,15,0,659952,659952,288,288,288,1329120,30.0,2,15,0.1333333333333333,
bbara,4,16,1,smallest,4,9,4,2,208,144,8,33.16992500144231,True,True,True,1,9,4,2,0.14840299399998,15,15,15,0,36640,36640,128,128,144,295776,30.0,3,15,0.2,
bbara,4,16,1,random,4,9,4,2,208,144,8,33.16992500144231,False,False,False,13,-1,-1,-1,2.5227064129999235,3,3,4,1,442880,442880,288,288,288,1329120,2.0,0,15,0.0,all available merges exceeded the resource budget
bbara,4,16,2,morph_batch,4,9,4,2,208,144,8,33.16992500144231,True,True,True,1,9,4,2,1.646518750000041,5,15,23,1,282736,49520,288,144,144,665280,30.0,15,15,1.0,
bbara,4,16,2,structural,4,9,4,2,208,144,8,33.16992500144231,False,False,False,12,-1,-1,-1,1.1111272639998333,4,4,5,1,147536,147536,288,288,144,665280,4.0,1,15,0.0666666666666666,all available merges exceeded the resource budget
bbara,4,16,2,smallest,4,9,4,2,208,144,8,33.16992500144231,True,True,True,1,9,4,2,0.1551447599999846,15,15,15,0,43264,43264,128,128,144,295776,30.0,1,15,0.0666666666666666,
bbara,4,16,2,random,4,9,4,2,208,144,8,33.16992500144231,False,False,False,12,-1,-1,-1,2.016180274999897,4,4,5,1,300032,300032,288,288,288,1329120,2.0,0,15,0.0,all available merges exceeded the resource budget
