family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
parity,3,8,0,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.032278751999911,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,0,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.019905762999997,7,7,7,0,3376,3376,32,32,32,5280,14.0,1,7,0.1428571428571428,
parity,3,8,0,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0288147109999954,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.1428571428571428,
parity,3,8,0,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0127858299999843,7,7,7,0,1424,1424,16,16,16,1088,14.0,3,7,0.4285714285714285,
parity,3,8,1,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0312656979999701,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,1,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0253503389999423,7,7,7,0,4560,4560,32,32,32,5280,14.0,1,7,0.1428571428571428,
parity,3,8,1,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0282035840000389,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.1428571428571428,
parity,3,8,1,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.1111360289999083,7,7,7,0,26992,26992,128,128,64,58112,14.0,1,7,0.1428571428571428,
parity,3,8,2,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0377584039999874,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,2,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.01907802300002,7,7,7,0,2640,2640,32,32,32,5280,14.0,2,7,0.2857142857142857,
parity,3,8,2,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0238046420001865,7,7,7,0,4768,4768,64,64,32,12608,14.0,2,7,0.2857142857142857,
parity,3,8,2,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0191104840000662,7,7,7,0,3024,3024,32,32,16,2688,14.0,1,7,0.1428571428571428,
parity,3,8,3,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0323831150001296,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,3,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.01640536900004,7,7,7,0,2224,2224,32,32,16,2688,14.0,1,7,0.1428571428571428,
parity,3,8,3,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0255229700001109,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.1428571428571428,
parity,3,8,3,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.824614469999915,7,7,7,0,190992,190992,256,256,256,526336,14.0,1,7,0.1428571428571428,
parity,3,8,4,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.0327593160000105,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
