family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
parity,3,8,0,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.03227875199991104,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,0,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.019905762999997023,7,7,7,0,3376,3376,32,32,32,5280,14.0,1,7,0.14285714285714285,
parity,3,8,0,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.02881471099999544,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.14285714285714285,
parity,3,8,0,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.012785829999984344,7,7,7,0,1424,1424,16,16,16,1088,14.0,3,7,0.42857142857142855,
parity,3,8,1,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.03126569799997014,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,1,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.025350338999942323,7,7,7,0,4560,4560,32,32,32,5280,14.0,1,7,0.14285714285714285,
parity,3,8,1,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.028203584000038973,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.14285714285714285,
parity,3,8,1,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.11113602899990838,7,7,7,0,26992,26992,128,128,64,58112,14.0,1,7,0.14285714285714285,
parity,3,8,2,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.03775840399998742,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,2,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.01907802300002004,7,7,7,0,2640,2640,32,32,32,5280,14.0,2,7,0.2857142857142857,
parity,3,8,2,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.023804642000186504,7,7,7,0,4768,4768,64,64,32,12608,14.0,2,7,0.2857142857142857,
parity,3,8,2,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.019110484000066208,7,7,7,0,3024,3024,32,32,16,2688,14.0,1,7,0.14285714285714285,
parity,3,8,3,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.03238311500012969,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,3,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.016405369000040082,7,7,7,0,2224,2224,32,32,16,2688,14.0,1,7,0.14285714285714285,
parity,3,8,3,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.025522970000110945,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.14285714285714285,
parity,3,8,3,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.824614469999915,7,7,7,0,190992,190992,256,256,256,526336,14.0,1,7,0.14285714285714285,
parity,3,8,4,morph_batch,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.032759316000010585,3,7,11,0,6080,448,64,16,32,12608,14.0,7,7,1.0,
parity,3,8,4,structural,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.011706025999956182,7,7,7,0,1680,1680,32,32,16,2688,14.0,1,7,0.14285714285714285,
parity,3,8,4,smallest,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.027309662000106982,7,7,7,0,6224,6224,64,64,32,12608,14.0,1,7,0.14285714285714285,
parity,3,8,4,random,4,2,1,1,40,16,4,15.0,True,True,True,1,2,1,1,0.04470756899991102,7,7,7,0,10864,10864,64,64,32,12608,14.0,2,7,0.2857142857142857,
