depth,strategy,runs,success_rate,exact_rate,mean_recall,median_peak,max_peak,median_time
3,morph_batch,5,1.0,1.0,1.0,16.0,16,0.0323831150001296
3,random,5,1.0,1.0,0.2285714285714285,64.0,256,0.044707568999911
3,smallest,5,1.0,1.0,0.17142857142857137,64.0,64,0.0273096620001069
3,structural,5,1.0,1.0,0.17142857142857137,32.0,32,0.01907802300002
4,morph_batch,5,1.0,1.0,1.0,32.0,32,0.1027887599998393
4,random,5,0.2,0.2,0.013333333333333319,512.0,512,1.983442689000185
4,smallest,5,0.6,0.6,0.0933333333333333,512.0,512,1.2516473100001804
4,structural,5,0.6,0.6,0.06666666666666662,256.0,512,0.7286748120000084
5,morph_batch,3,1.0,1.0,1.0,64.0,64,0.1743010119998871
5,random,3,0.0,0.0,0.021505376344086,256.0,512,1.2608116970000085
5,smallest,3,0.0,0.0,0.043010752688172,256.0,256,1.481466896000029
5,structural,3,0.0,0.0,0.08602150537634407,128.0,512,0.8716806490001545
6,morph_batch,3,1.0,1.0,1.0,128.0,128,0.6113044169999284
6,random,3,0.0,0.0,0.021164021164021135,256.0,256,1.0070497520000572
6,smallest,3,0.0,0.0,0.05291005291005287,256.0,256,2.1848706999999195
6,structural,3,0.0,0.0,0.05820105820105814,256.0,256,1.130423791000112
