family,depth,leaves,seed,strategy,decoy_degree,root_states,root_inputs,root_outputs,primitive_state_sum,primitive_state_max,primitive_input_max,cartesian_log2_states,exact_root,all_certificates,success,final_regions,final_states,final_inputs,final_outputs,wall_seconds,generations,merges,candidate_evaluations,oversized_candidates,all_transition_evaluations,selected_transition_evaluations,peak_candidate_raw_states,peak_selected_raw_states,peak_quotient_states,peak_description_bits,selected_total_gain_bits,recovered_oracle_clusters,oracle_cluster_count,cluster_recall,failure
parity,6,64,0,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.6026915900001768,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,6,64,1,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.576830118000089,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
parity,6,64,2,morph_batch,4,2,1,1,512,128,7,127.0,True,True,True,1,2,1,1,0.5848686700001053,10,63,97,0,146944,32256,256,128,128,263936,126.0,63,63,1.0,
counter,6,64,0,morph_batch,4,5,1,3,704,320,7,128.32192809488737,True,True,True,1,5,1,3,1.4319649920000757,10,63,97,0,331096,65016,640,320,320,824960,126.0,63,63,1.0,
counter,6,64,1,morph_batch,4,5,1,3,704,320,7,128.32192809488737,True,True,True,1,5,1,3,1.5276284300000498,10,63,97,0,331096,65016,640,320,320,824960,126.0,63,63,1.0,
counter,6,64,2,morph_batch,4,5,1,3,704,320,7,128.32192809488737,True,True,True,1,5,1,3,1.4135162160000618,10,63,97,0,331096,65016,640,320,320,824960,126.0,63,63,1.0,
pattern,6,64,0,morph_batch,4,5,1,1,704,320,7,128.32192809488737,True,True,True,1,5,1,1,1.7609243430001698,10,63,97,0,331096,65016,640,320,320,823680,126.0,63,63,1.0,
pattern,6,64,1,morph_batch,4,5,1,1,704,320,7,128.32192809488737,True,True,True,1,5,1,1,1.695106646999875,10,63,97,0,331096,65016,640,320,320,823680,126.0,63,63,1.0,
pattern,6,64,2,morph_batch,4,5,1,1,704,320,7,128.32192809488737,True,True,True,1,5,1,1,1.6944808680000278,10,63,97,0,331096,65016,640,320,320,823680,126.0,63,63,1.0,
handshake,6,64,0,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.8813746779999287,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
handshake,6,64,1,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.8569417910000536,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
handshake,6,64,2,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.9012776380000105,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
traffic,6,64,0,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.9209855659998996,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
traffic,6,64,1,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.991856731000098,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
traffic,6,64,2,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.904775143000052,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
abp,6,64,0,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.8455483749999075,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
abp,6,64,1,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.8699442749998525,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
abp,6,64,2,morph_batch,4,4,2,3,640,256,8,128.0,True,True,True,1,4,2,3,1.8148777819999395,10,63,97,0,515248,97776,512,256,256,1184256,126.0,63,63,1.0,
mixed,6,64,0,morph_batch,4,8,3,4,896,512,9,129.0,True,True,True,1,8,3,4,7.258952021999903,10,63,97,0,1988464,359856,1024,512,512,5253120,126.0,63,63,1.0,
mixed,6,64,1,morph_batch,4,8,3,4,896,512,9,129.0,True,True,True,1,8,3,4,7.174943142000075,10,63,97,0,1988464,359856,1024,512,512,5253120,126.0,63,63,1.0,
mixed,6,64,2,morph_batch,4,8,3,4,896,512,9,129.0,True,True,True,1,8,3,4,7.337420479999992,10,63,97,0,1988464,359856,1024,512,512,5253120,126.0,63,63,1.0,
